dataset,horizon,DAG_mse,SWAN_V3_FINAL_current_best_mse,delta_best_minus_DAG,winner_by_mse,best_from_model,best_source_file,DAG_source_file,final_params_json
Electricity,192,0.1558732009,0.1666273833,0.0107541823,DAG,SWAN_V3_TUNE_R4,E:/Project/TimeSeq/DAG/result/Electricity/SWAN_V3_TUNE_R4/Electricity_h192_C/test_report.1775633245.autodl-container-98a74c9ae6-8384db31.2148.csv,E:/Project/TimeSeq/DAG/result/Electricity/DAG/test_report.1774695881.DESKTOP-FQEO3JL.12576.csv,"{""adaptive_alpha"": true, ""alpha"": 0.5, ""alpha_hidden"": 16, ""batch_size"": 16, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.03, ""dropout"": 0.0, ""dynamic_sparse"": false, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 192, ""loss"": ""MAE"", ""lr"": 3e-05, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 150, ""patch_len"": 24, ""patience"": 20, ""phase_weight"": 0.18, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 24, ""target_mask_density"": 0.5, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
Energy,24,0.0789354985,0.0832100465,0.0042745479,DAG,SWAN_V3_TUNE_R4,E:/Project/TimeSeq/DAG/result/Energy/SWAN_V3_TUNE_R4/Energy_h24_B/test_report.1775633649.autodl-container-98a74c9ae6-8384db31.8157.csv,E:/Project/TimeSeq/DAG/result/Energy/DAG/test_report.1774686447.DESKTOP-FQEO3JL.30388.csv,"{""adaptive_alpha"": true, ""alpha"": 0.6, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 256, ""d_model"": 64, ""density_lambda"": 0.05, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 24, ""loss"": ""MAE"", ""lr"": 0.001, ""lradj"": ""type1"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 48, ""patience"": 10, ""phase_weight"": 0.2, ""seq_len"": 168, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 48, ""target_mask_density"": 0.5, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
Energy,360,0.1691370549,0.1847985394,0.0156614845,DAG,SWAN_V3_TUNE_R3,E:/Project/TimeSeq/DAG/result/Energy/SWAN_V3_TUNE_R3/Energy_h360_A/test_report.1775623893.autodl-container-98a74c9ae6-8384db31.8753.csv,E:/Project/TimeSeq/DAG/result/Energy/DAG/test_report.1774686506.DESKTOP-FQEO3JL.33948.csv,"{""adaptive_alpha"": true, ""alpha"": 0.6, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 256, ""d_model"": 64, ""density_lambda"": 0.05, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 360, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 140, ""patch_len"": 48, ""patience"": 18, ""phase_weight"": 0.2, ""seq_len"": 720, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 600, ""stride"": 48, ""target_mask_density"": 0.5, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
Sdwpfm1,24,0.3452368121,0.3650472220,0.0198104099,DAG,SWAN_V3_TUNE_R4,E:/Project/TimeSeq/DAG/result/Sdwpfm1/SWAN_V3_TUNE_R4/Sdwpfm1_h24_B/test_report.1775635374.autodl-container-98a74c9ae6-8384db31.16746.csv,E:/Project/TimeSeq/DAG/result/Sdwpfm1/DAG/test_report.1774686562.DESKTOP-FQEO3JL.5904.csv,"{""adaptive_alpha"": true, ""alpha"": 0.3, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 64, ""d_model"": 64, ""density_lambda"": 0.08, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 24, ""loss"": ""MAE"", ""lr"": 0.001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 8, ""patience"": 5, ""phase_weight"": 0.3, ""seq_len"": 168, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 8, ""target_mask_density"": 0.35, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
Sdwpfm1,360,0.4991882910,0.4826083809,-0.0165799101,SWAN_V3_FINAL_BEST,SWAN_V3,E:/Project/TimeSeq/DAG/result/Sdwpfm1/SWAN_V3/test_report.1775481491.autodl-container-98a74c9ae6-8384db31.28009.csv,E:/Project/TimeSeq/DAG/result/Sdwpfm1/DAG/test_report.1774686618.DESKTOP-FQEO3JL.31912.csv,"{""adaptive_alpha"": true, ""alpha"": 0.3, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 64, ""d_model"": 64, ""density_lambda"": 0.08, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 360, ""loss"": ""MAE"", ""lr"": 0.001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 8, ""patience"": 5, ""phase_weight"": 0.3, ""seq_len"": 720, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 8, ""target_mask_density"": 0.35, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
Sdwpfm2,24,0.3719951306,0.3841835266,0.0121883960,DAG,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/Sdwpfm2/SWAN_V3_TUNE/test_report.1775552093.autodl-container-8d624e9d85-a6740c46.19709.csv,E:/Project/TimeSeq/DAG/result/Sdwpfm2/DAG/test_report.1774686666.DESKTOP-FQEO3JL.7844.csv,"{""adaptive_alpha"": true, ""alpha"": 0.1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 64, ""density_lambda"": 0.04, ""dropout"": 0.05, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 24, ""loss"": ""MAE"", ""lr"": 0.001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 48, ""patience"": 12, ""phase_weight"": 0.15, ""seq_len"": 168, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 300, ""stride"": 48, ""target_mask_density"": 0.5, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
Sdwpfm2,360,0.5870024355,0.5578288213,-0.0291736141,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/Sdwpfm2/SWAN_V3_TUNE/test_report.1775552728.autodl-container-8d624e9d85-a6740c46.22424.csv,E:/Project/TimeSeq/DAG/result/Sdwpfm2/DAG/test_report.1774686713.DESKTOP-FQEO3JL.13184.csv,"{""adaptive_alpha"": true, ""alpha"": 0.1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 64, ""density_lambda"": 0.04, ""dropout"": 0.05, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 360, ""loss"": ""MAE"", ""lr"": 0.001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 48, ""patience"": 12, ""phase_weight"": 0.15, ""seq_len"": 720, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 300, ""stride"": 48, ""target_mask_density"": 0.5, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
Weather,96,0.0010157434,0.0006762164,-0.0003395270,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE_R2,E:/Project/TimeSeq/DAG/result/Weather/SWAN_V3_TUNE_R2/Weather_h96_C/test_report.1775579475.autodl-container-98a74c9ae6-8384db31.14302.csv,E:/Project/TimeSeq/DAG/result/Weather/DAG/test_report.1774691853.DESKTOP-FQEO3JL.4224.csv,"{""adaptive_alpha"": true, ""alpha"": 0.5, ""alpha_hidden"": 16, ""batch_size"": 32, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.05, ""dropout"": 0.1, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 96, ""loss"": ""MAE"", ""lr"": 0.0002, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 80, ""patch_len"": 24, ""patience"": 8, ""phase_weight"": 0.2, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 24, ""target_mask_density"": 0.45, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
Weather,192,0.0009244820,0.0008948539,-0.0000296281,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/Weather/SWAN_V3_TUNE/test_report.1775554914.autodl-container-8d624e9d85-a6740c46.29685.csv,E:/Project/TimeSeq/DAG/result/Weather/DAG/test_report.1774692465.DESKTOP-FQEO3JL.26024.csv,"{""adaptive_alpha"": true, ""alpha"": 0.5, ""alpha_hidden"": 16, ""batch_size"": 32, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.05, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 192, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 24, ""patience"": 10, ""phase_weight"": 0.2, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 24, ""target_mask_density"": 0.45, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
Weather,336,0.0014766423,0.0012760854,-0.0002005569,SWAN_V3_FINAL_BEST,SWAN_V3,E:/Project/TimeSeq/DAG/result/Weather/SWAN_V3/test_report.1775485049.autodl-container-98a74c9ae6-8384db31.38790.csv,E:/Project/TimeSeq/DAG/result/Weather/DAG/test_report.1774692854.DESKTOP-FQEO3JL.26920.csv,"{""adaptive_alpha"": true, ""alpha"": 0.5, ""alpha_hidden"": 16, ""batch_size"": 32, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.1, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 336, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 24, ""patience"": 5, ""phase_weight"": 0.2, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""target_mask_density"": 0.4, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.08, ""weight_gate_sharpness"": 8.0}"
Weather,720,0.0016948191,0.0015281796,-0.0001666395,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/Weather/SWAN_V3_TUNE/test_report.1775562015.autodl-container-8d624e9d85-a6740c46.43557.csv,E:/Project/TimeSeq/DAG/result/Weather/DAG/test_report.1774693437.DESKTOP-FQEO3JL.1152.csv,"{""adaptive_alpha"": true, ""alpha"": 0.5, ""alpha_hidden"": 16, ""batch_size"": 32, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.05, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 720, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 24, ""patience"": 10, ""phase_weight"": 0.2, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 24, ""target_mask_density"": 0.45, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
